-0.32  -0.57  10.31  0.00  -0.14  0.03
-0.32  -0.52  10.23  -0.01  -0.12  0.06
-0.22  -0.54  10.17  -0.02  -0.11  0.07
-0.21  -0.55  10.23  -0.02  -0.09  0.07
-0.19  -0.48  10.18  -0.04  -0.12  0.05
-0.24  -0.45  10.18  -0.05  -0.14  0.04
-0.21  -0.44  10.12  -0.08  -0.18  0.04
-0.01  -0.49  10.15  -0.10  -0.16  0.05
0.04  -0.53  10.30  -0.10  -0.12  0.05
0.05  -0.58  10.36  -0.08  -0.10  0.06
0.00  -0.55  10.33  -0.07  -0.09  0.06
0.12  -0.58  10.23  -0.08  -0.09  0.06
0.21  -0.64  10.35  -0.09  -0.05  0.02
0.04  -0.66  10.53  -0.09  -0.05  0.00
0.01  -0.62  10.59  -0.08  -0.06  0.01
0.00  -0.62  10.52  -0.07  -0.05  0.02
-0.02  -0.56  10.47  -0.07  -0.06  0.02
-0.04  -0.60  10.49  -0.08  -0.06  0.01
0.07  -0.61  10.42  -0.08  -0.07  0.00
0.06  -0.62  10.56  -0.07  -0.05  -0.01
0.02  -0.61  10.56  -0.06  -0.02  -0.00
0.02  -0.57  10.52  -0.06  -0.01  0.00
0.01  -0.57  10.63  -0.06  -0.02  0.00
0.06  -0.63  10.69  -0.06  -0.04  0.00
0.06  -0.61  10.70  -0.05  -0.04  -0.01
0.03  -0.59  10.69  -0.04  -0.04  -0.00
-0.08  -0.57  10.66  -0.03  -0.05  0.01
0.00  -0.56  10.71  -0.02  -0.04  0.03
0.01  -0.61  10.71  -0.01  -0.02  0.04
-0.01  -0.60  10.72  -0.01  -0.02  0.05
0.05  -0.54  10.69  0.00  -0.02  0.03
0.06  -0.45  10.64  -0.01  -0.02  0.03
0.14  -0.43  10.62  -0.01  -0.01  0.02
0.11  -0.44  10.63  -0.02  0.00  0.03
-0.02  -0.41  10.78  -0.03  -0.00  0.02
0.08  -0.49  10.86  -0.03  -0.08  0.00
0.22  -0.52  10.89  -0.03  -0.13  -0.04
0.26  -0.59  10.98  -0.03  -0.20  -0.09
0.25  -0.57  11.06  -0.03  -0.23  -0.13
0.21  -0.66  11.11  -0.01  -0.26  -0.14
0.22  -0.69  11.30  0.03  -0.26  -0.13
0.16  -0.64  11.20  0.08  -0.25  -0.10
0.14  -0.51  11.03  0.11  -0.23  -0.06
0.08  -0.41  10.75  0.12  -0.21  -0.03
0.05  -0.30  10.69  0.13  -0.21  0.01
0.12  -0.20  10.54  0.11  -0.22  0.04
0.13  -0.22  10.48  0.10  -0.23  0.06
0.08  -0.26  10.58  0.10  -0.27  0.06
0.23  -0.21  10.51  0.10  -0.35  0.08
0.48  -0.23  10.43  0.08  -0.33  0.06
0.24  -0.19  10.49  0.07  -0.32  0.05
0.36  -0.13  10.52  0.07  -0.40  0.07
0.69  -0.16  10.43  0.05  -0.42  0.12
0.66  -0.09  10.51  0.06  -0.34  0.11
0.68  -0.13  10.48  0.05  -0.38  0.12
0.79  -0.09  10.30  0.05  -0.40  0.13
0.94  -0.07  10.26  0.04  -0.37  0.10
0.90  -0.03  10.37  0.03  -0.35  0.10
1.03  -0.02  10.35  0.03  -0.34  0.11
0.94  0.06  10.24  0.04  -0.30  0.10
0.99  0.04  10.37  0.03  -0.31  0.13
0.93  0.19  10.41  0.04  -0.25  0.20
0.91  0.15  10.40  0.04  -0.22  0.20
1.20  -0.01  10.27  0.00  -0.28  0.21
1.23  0.07  10.55  -0.00  -0.30  0.21
1.36  -0.06  10.49  -0.00  -0.29  0.15
1.24  -0.04  10.60  -0.01  -0.32  0.13
1.47  0.01  10.54  0.01  -0.29  0.14
1.36  0.04  10.57  0.02  -0.25  0.19
1.50  0.04  10.50  0.02  -0.22  0.22
1.31  0.07  10.54  0.03  -0.22  0.21
1.66  0.05  10.38  0.00  -0.27  0.20
1.55  0.11  10.43  0.01  -0.15  0.19
1.41  0.22  10.42  0.01  -0.18  0.14
1.45  0.18  10.36  -0.01  -0.21  0.16
1.70  0.12  10.31  -0.03  -0.17  0.15
1.39  0.16  10.53  -0.01  -0.18  0.12
1.72  0.21  10.45  -0.04  -0.25  0.15
1.86  0.12  10.35  -0.09  -0.15  0.18
1.50  0.18  10.41  -0.05  -0.17  0.11
1.78  0.52  10.45  -0.16  -0.19  0.07
1.81  -0.11  10.46  -0.21  -0.15  0.12
1.44  0.10  10.54  -0.07  -0.05  0.18
1.63  0.77  10.35  -0.18  -0.13  0.18
1.87  -0.14  10.21  -0.31  -0.14  0.18
1.79  -0.12  10.44  -0.11  -0.06  0.16
1.61  -0.07  10.58  -0.05  -0.11  0.10
1.80  0.96  10.43  -0.20  -0.21  -0.02
1.88  -0.09  10.32  -0.47  -0.13  0.05
1.64  -0.72  10.42  -0.20  0.04  0.08
1.42  0.11  10.57  -0.04  -0.16  0.09
2.08  0.84  10.22  -0.17  -0.20  0.03
2.15  1.29  10.43  -1.04  0.06  0.00
1.37  -2.44  10.17  -0.60  0.16  0.11
1.10  -0.01  10.42  -0.08  -0.16  0.06
2.24  0.01  10.05  -0.03  -0.24  0.06
1.95  0.01  10.32  -0.04  -0.03  0.09
1.70  0.10  10.44  -0.08  -0.09  0.09
1.95  0.73  10.34  -0.28  -0.15  -0.02
2.32  0.24  10.40  -1.05  0.08  0.10
1.45  -1.72  10.21  -0.28  0.16  0.08
1.23  -0.40  10.37  -0.05  -0.18  0.12
2.35  -0.13  10.09  -0.03  -0.15  0.13
1.63  -0.15  10.46  -0.13  0.03  0.10
1.86  -0.11  10.32  -0.26  -0.04  0.00
1.85  -0.54  10.30  -0.08  -0.00  0.12
1.85  -0.30  10.54  -0.03  -0.07  0.17
2.68  1.92  10.42  -0.62  0.06  -0.19
1.88  -3.44  10.04  -0.71  0.31  0.19
1.18  -0.41  10.46  -0.04  0.00  0.09
2.40  -0.36  10.39  0.07  -0.09  0.11
2.10  -0.27  10.35  -0.04  0.10  0.06
1.75  -1.15  10.31  -0.07  0.05  0.15
1.88  -0.28  10.33  0.07  0.07  0.07
1.85  -0.41  10.40  0.05  0.03  0.14
1.60  0.13  10.54  -0.13  0.09  -0.01
1.83  -0.84  10.45  -0.01  0.10  0.03
1.62  -0.45  10.50  0.05  0.13  0.09
1.59  -0.19  10.42  0.02  0.09  0.08
1.70  0.63  10.52  -0.25  0.15  -0.11
1.69  -1.58  10.50  -0.14  0.23  -0.00
1.38  -0.67  10.52  0.02  0.06  0.04
1.70  -0.31  10.52  0.07  0.07  0.06
1.77  -0.37  10.37  0.08  0.13  0.02
1.50  -0.34  10.42  0.08  0.08  -0.03
1.53  -0.30  10.49  0.10  0.10  -0.08
1.57  -0.32  10.34  0.10  0.07  -0.10
1.34  0.00  10.50  0.10  0.08  -0.11
1.54  -0.10  10.35  0.06  0.08  -0.09
1.37  -0.02  10.61  0.09  0.09  -0.08
1.51  0.05  10.37  0.08  0.07  -0.06
1.47  -0.11  10.23  0.09  0.09  -0.11
1.33  -0.01  10.24  0.06  0.05  -0.08
1.44  -0.01  10.19  0.05  0.07  -0.15
1.30  0.17  10.52  0.07  0.10  -0.17
1.64  0.05  10.26  0.06  0.07  -0.23
1.56  0.06  10.25  0.01  0.08  -0.15
1.24  0.17  10.41  -0.03  0.05  -0.16
1.54  0.12  10.25  -0.04  0.05  -0.18
1.33  0.25  10.21  -0.05  0.00  -0.20
1.79  -0.01  10.18  -0.09  -0.01  -0.20
1.51  -0.00  10.32  -0.08  0.03  -0.22
1.46  0.41  10.31  -0.10  -0.03  -0.15
1.95  -0.09  10.12  -0.12  0.02  -0.16
1.44  0.11  10.44  -0.08  0.07  -0.14
1.75  -0.00  10.15  -0.08  0.04  -0.13
